,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
head,809.1475995914197,173.52013716620445,888.8207354443309,180.5243688895373,885.3186195826645,266.3262075003646,818.7784182110024,261.07303370786497
upper_left_arm,718.0925871880929,220.79870129870108,756.6158616664234,201.53706405953585,803.8944257989201,291.7165474974462,760.1179775280898,324.1111192178606
lower_left_arm,732.1010506347586,71.95877717787812,776.7530278710053,73.70983510871133,753.9892747701736,198.91047716328603,714.5904713264265,220.79870129870108
upper_right_arm,979.0002188822414,203.28812199036906,1011.3947906026558,239.1848095724498,932.5971837151612,345.9993433532758,898.4515540639136,291.7165474974462
lower_right_arm,1036.7851305997374,79.83853786662758,1083.1881657668175,83.340653728294,1007.8926747409894,238.3092806070332,985.1289216401576,204.16365095578567
left_leg,786.383846490588,544.7444185028453,863.4303954472493,556.1262950532612,843.2932292426674,892.3294177732379,799.5167809718371,895.8315336349043
right_leg,870.4346271705822,558.752881949511,943.9790602655771,534.238070917846,908.0823726834963,920.3463446665693,864.305924412666,897.5825915657375
body,796.0146651101707,289.08996060119637,905.4557857872464,297.84525025536243,950.98329198891,537.7401867795124,788.1349044214212,543.8688895374287
