,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
head,828.4092368305851,178.7733109587041,911.5844885451627,181.3998978549539,908.9579016489129,261.9485626732816,836.2889975193345,266.3262075003646
upper_left_arm,719.8436451189261,246.18904129578266,745.2339851160077,203.28812199036906,810.0231285568364,284.71231577411334,783.7572595943382,333.7419378374433
lower_left_arm,613.9046403035168,109.60652269079219,655.0545016780973,77.21195097037776,744.3584561505911,204.16365095578567,717.2170582226763,250.5666861228657
upper_right_arm,972.8715161243251,199.78600612870264,1016.6479643951554,201.53706405953585,962.3651685393259,338.9951116299429,927.3440099226616,286.46337370494655
lower_right_arm,910.7089595797461,85.09171165912721,942.2280023347439,64.95454545454527,1019.2745512914053,197.15941923245282,967.6183423318255,198.03494819786943
left_leg,774.1264409747555,535.1135998832626,865.1814533780826,549.9975922953449,854.6751057930833,922.0974025974025,803.0188968335035,934.354808113235
right_leg,866.0569823434992,558.752881949511,930.846125784328,555.2507660878446,943.9790602655771,895.8315336349043,906.331314752663,906.3378812199036
body,810.898657522253,287.33890267036315,936.9748285422443,286.46337370494655,927.3440099226616,554.375237122428,776.7530278710053,532.4870129870128
