,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
head,810.898657522253,176.14672406245427,887.9452064789143,177.89778199328748,883.5675616518313,262.8240916386982,813.5252444185028,261.9485626732816
upper_left_arm,725.9723478768424,192.7817744053698,767.9977382168393,212.043411644535,802.1433678680869,294.343134393696,758.3669195972566,322.3600612870274
lower_left_arm,885.3186195826645,97.3491171749597,902.8291988909966,127.11710199912432,764.4956223551728,214.66999854078483,722.470232015176,188.40412957828676
upper_right_arm,999.1373850868233,218.17211440245126,1025.4032540493215,252.3177440536989,923.8418940609952,351.2525171457754,894.9494382022472,284.71231577411334
lower_right_arm,1123.4624981759812,122.73945717204128,1156.7325988618122,163.88931854662178,1025.4032540493215,251.4422150882823,1000.0129140522399,215.54552750620144
left_leg,777.6285568364219,540.3667736757623,860.8038085509995,548.2465343645117,851.1729899314169,929.1016343207353,806.5210126951699,934.354808113235
right_leg,859.9282795855829,554.375237122428,936.0992995768277,543.8688895374287,915.9621333722457,930.8526922515686,876.5633299284984,929.977163286152
body,793.3880782139208,293.4676054282794,908.9579016489129,289.965489566613,935.223770611411,548.2465343645117,782.006201663505,537.7401867795124
