,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
head,830.1602947614183,180.5243688895373,908.0823726834963,182.2754268203705,902.8291988909966,267.2017364657812,838.9155844155844,271.57938129286424
upper_left_arm,710.2128264993435,221.67423026411768,734.7276375310084,200.66153509411924,810.0231285568364,282.9612578432801,789.8859623522544,339.87064059535953
lower_left_arm,615.65569823435,106.97993579454237,645.4236830585146,76.33642200496115,739.9808113235081,202.41259302495246,705.8351816722604,226.0518750912007
upper_right_arm,973.7470450897417,201.53706405953585,1013.145848533489,215.54552750620144,963.2406975047425,327.61323507952704,927.3440099226616,286.46337370494655
lower_right_arm,908.0823726834963,86.84276958996043,939.6014154384941,63.203487523712056,1018.3990223259887,219.04764336786786,971.1204581934919,205.03917992120228
left_leg,780.2551437326717,527.2338391945132,856.4261637239165,547.3710053990951,856.4261637239165,927.3505763899021,803.0188968335035,923.8484605282357
right_leg,858.1772216547497,549.9975922953449,926.468480957245,538.615715744929,939.6014154384941,892.3294177732379,904.5802568218298,908.0889391507368
body,817.0273602801692,289.08996060119637,933.4727126805778,293.4676054282794,927.3440099226616,554.375237122428,780.2551437326717,545.6199474682619
