lower_right_arm_1_x,lower_right_arm_1_y,lower_right_arm_2_x,lower_right_arm_2_y,lower_right_arm_3_x,lower_right_arm_3_y,lower_right_arm_4_x,lower_right_arm_4_y
0.5231466293334961,0.9106646478176117,0.5279060006141663,0.9077445268630981,0.58260577917099,0.7981370294094086,0.58260577917099,0.8181370294094086
0.5378771424293518,0.9175288304686547,0.5441440939903259,0.9157150089740754,0.5828849673271179,0.7978274577856064,0.5828849673271179,0.8178274577856064
0.5406676530838013,0.9217259436845779,0.5473126173019409,0.9199958741664886,0.5832154750823975,0.7978045547008514,0.5832154750823975,0.8178045547008514
0.5619843006134033,0.9385563954710961,0.5710208415985107,0.9371935203671455,0.5839461088180542,0.7974107915163041,0.5839461088180542,0.8174107915163041
0.5852189064025879,0.9425322972238064,0.5912103652954102,0.9394194297492505,0.5845864415168762,0.7966341876983642,0.5845864415168762,0.8166341876983643
0.6054755449295044,0.9407978691160679,0.6107494831085205,0.9367720633745193,0.5848922729492188,0.7918333315849305,0.5848922729492188,0.8118333315849305
0.6217366456985474,0.9362563341856003,0.6253727078437805,0.9315063729882241,0.5850242376327515,0.786115905046463,0.5850242376327515,0.806115905046463
0.6364559531211853,0.9160838052630424,0.6378013491630554,0.911288008093834,0.5858462452888489,0.7822650724649429,0.5858462452888489,0.8022650724649429
0.6472424864768982,0.8914534226059914,0.6475862860679626,0.8862860873341561,0.5860485434532166,0.7750793600082397,0.5860485434532166,0.7950793600082398
0.6488009691238403,0.8857044950127602,0.6497222781181335,0.8801298066973687,0.585726797580719,0.7709595614671708,0.585726797580719,0.7909595614671708
0.6577943563461304,0.8672039806842804,0.6587004661560059,0.8621923476457596,0.5855053663253784,0.7650432640314103,0.5855053663253784,0.7850432640314103
0.6653680801391602,0.8508839756250381,0.665169358253479,0.8471008092164994,0.5854756832122803,0.7617407941818238,0.5854756832122803,0.7817407941818239
0.6662251353263855,0.8416888266801834,0.6657659411430359,0.8389094322919846,0.5854687690734863,0.7608884924650193,0.5854687690734863,0.7808884924650193
0.6631380915641785,0.8465563207864761,0.66331946849823,0.843340590596199,0.5855813026428223,0.7611266130208969,0.5855813026428223,0.7811266130208969
0.6627976298332214,0.8471325337886811,0.6630201935768127,0.84443299472332,0.5859889984130859,0.7598267549276352,0.5859889984130859,0.7798267549276352
0.6577398777008057,0.8516860753297806,0.658860445022583,0.8505841642618179,0.5856329798698425,0.7613650166988373,0.5856329798698425,0.7813650166988373
0.6316277980804443,0.9074560031294823,0.634307324886322,0.9046287834644318,0.5860249400138855,0.775382941365242,0.5860249400138855,0.795382941365242
0.6265800595283508,0.9196796342730523,0.628840982913971,0.9165072739124299,0.5865192413330078,0.7802699559926987,0.5865192413330078,0.8002699559926987
0.6050758957862854,0.9337197914719582,0.6109818816184998,0.9317606315016747,0.5870122909545898,0.7881566041707992,0.5870122909545898,0.8081566041707993
0.5752099752426147,0.9312873855233192,0.5815865993499756,0.93082544952631,0.5868867039680481,0.7910416626930237,0.5868867039680481,0.8110416626930237
0.5526757836341858,0.9296420440077782,0.5582658648490906,0.9305047318339348,0.5866310000419617,0.7943069392442704,0.5866310000419617,0.8143069392442704
0.5497955083847046,0.9292025566101075,0.5554556846618652,0.9302554950118065,0.5863792300224304,0.7956351840496064,0.5863792300224304,0.8156351840496064
